company_id,company_logo,company_name,chart_link,about_company,website,nse_profile,bse_profile,face_value,book_value,roce_percentage,roe_percentage,id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_employed_pct,return_on_assets_pct,net_debt_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score,high_leverage_flag,icr_label,id_market,year_market,market_cap_crore,enterprise_value_crore,pe_ratio,pb_ratio,ev_ebitda,dividend_yield_pct,financial_score,rating
TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,1076.0,Mar 2024,19.136712150207767,26.690688396923118,50.944313673485176,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021.0,44338.0,68.78489493452442,31.689259788825343,,,,,,,,,,,,,,522,2024,461188.15,542230.13,78.69,6.08,29.94,1.62,100.0,Excellent
TCS,https://images.5paisa.com/MarketIcons/TCS.png,Tata Consultancy Services Ltd,https://www.tradingview.com/chart/?symbol=NSE%3ATCS,"Tata Consultancy Services is the flagship company and a part of Tata group. It is an IT services, consulting and business solutions organization that has been partnering with many of the world's largest businesses in their transformation journeys for over 50 years. TCS offers a consulting-led, cognitive powered, integrated portfolio of business, technology and engineering services and solutions.",https://www.tcs.com/,https://www.nseindia.com/get-quotes/equity?symbol=TCS,https://www.bseindia.com/stock-share-price/tata-consultancy-services-ltd/TCS/532540/,1.0,281.0,64.3,0.52,1076.0,Mar 2024,19.136712150207767,26.690688396923118,50.944313673485176,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021.0,44338.0,68.78489493452442,31.689259788825343,,,,,,,,,,,,,,522,2024,461188.15,542230.13,78.69,6.08,29.94,1.62,100.0,Excellent
INDIGO,"https://rb.gy/rv6gr8
",Interglobe Aviation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINDIGO,"Interglobe Aviation Ltd (Indigo) is India's largest passenger airline operating as a low-cost carrier. Serving 86 destinations including 24 international destinations, it provides passengers with a simple, unbundled product, fulfilling its singular brand promise of providing \""low fares, on-time flights, and a courteous and hassle-free service\"" to its customers. IndiGo commenced operations in August 2006 with a single aircraft and has grown its fleet to 262 aircrafts.",http://www.goindigo.in/,https://www.nseindia.com/get-quotes/equity?symbol=INDIGO,https://www.bseindia.com/stock-share-price/interglobe-aviation-ltd/INDIGO/539448/,10.0,97.0,24.5,,1184.0,Mar 2024,11.852722628584697,76.29890862649484,892.568306010929,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17.0,21183.0,5643.454935622318,668.3306055646481,,,,,,,,,,,,,,282,2024,1040632.92,1061542.29,76.23,7.87,24.64,4.27,95.73667831438375,Excellent
INDIGO,"https://rb.gy/rv6gr8
",Interglobe Aviation Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AINDIGO,"Interglobe Aviation Ltd (Indigo) is India's largest passenger airline operating as a low-cost carrier. Serving 86 destinations including 24 international destinations, it provides passengers with a simple, unbundled product, fulfilling its singular brand promise of providing \""low fares, on-time flights, and a courteous and hassle-free service\"" to its customers. IndiGo commenced operations in August 2006 with a single aircraft and has grown its fleet to 262 aircrafts.",http://www.goindigo.in/,https://www.nseindia.com/get-quotes/equity?symbol=INDIGO,https://www.bseindia.com/stock-share-price/interglobe-aviation-ltd/INDIGO/539448/,10.0,97.0,24.5,,1184.0,Mar 2024,11.852722628584697,76.29890862649484,892.568306010929,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17.0,21183.0,5643.454935622318,668.3306055646481,,,,,,,,,,,,,,282,2024,1040632.92,1061542.29,76.23,7.87,24.64,4.27,95.73667831438375,Excellent
COALINDIA,https://mkt.in/static/mkt-icons/nifty100/COALINDIA.png,Coal India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ACOALINDIA,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10.0,156.0,63.6,52.0,339.0,Mar 2024,26.25628846856468,66.29380849329698,45.16982956605826,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523.0,18103.0,105.75106719101879,15.802850255846407,,,,,,,,,,,,,,156,2024,454024.84,574785.39,34.27,14.75,25.15,4.38,94.57523620832904,Excellent
COALINDIA,https://mkt.in/static/mkt-icons/nifty100/COALINDIA.png,Coal India Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ACOALINDIA,"Coal India Ltd is mainly engaged in mining and production of Coal and also operates Coal washeries. The major consumers of the company are power and steel sectors. Consumers from other sectors include cement, fertilizers, brick kilns etc.",http://www.coalindia.in/,https://www.nseindia.com/get-quotes/equity?symbol=COALINDIA,https://www.bseindia.com/stock-share-price/coal-india-ltd/COALINDIA/533278/,10.0,156.0,63.6,52.0,339.0,Mar 2024,26.25628846856468,66.29380849329698,45.16982956605826,0.0788,11.2418,0.6019,13617.0,4486.0,61.0,1.3424,42.0,6523.0,18103.0,105.75106719101879,15.802850255846407,,,,,,,,,,,,,,156,2024,454024.84,574785.39,34.27,14.75,25.15,4.38,94.57523620832904,Excellent
LT,https://mkt.in/static/mkt-icons/nifty100/LT.png,Larsen & Toubro Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ALT,"Lithuania, officially the Republic of Lithuania, is a country in the Baltic region of Europe. It is one of three Baltic states and lies on the eastern shore of the Baltic Sea, bordered by Latvia to the north, Belarus to the east and south, Poland to the south, and the Russian semi-exclave of Kaliningrad Oblast to the southwest, with a maritime border with Sweden to the west. ",https://www.larsentoubro.com/,https://www.nseindia.com/get-quotes/equity?symbol=LT,https://www.bseindia.com/stock-share-price/larsen--toubro-ltd/lt/500510/,2.0,635.0,17.18,10.49,717.0,Mar 2024,7.031246466738726,13.506668535997433,77.66510140873214,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071.0,18266.0,152.61895060890035,56.44423467905896,,,,,,,,,,,,,,366,2024,1124597.5,1097873.76,30.8,2.48,16.63,1.26,90.94219603951974,Excellent
LT,https://mkt.in/static/mkt-icons/nifty100/LT.png,Larsen & Toubro Ltd,https://in.tradingview.com/chart/?symbol=NSE%3ALT,"Lithuania, officially the Republic of Lithuania, is a country in the Baltic region of Europe. It is one of three Baltic states and lies on the eastern shore of the Baltic Sea, bordered by Latvia to the north, Belarus to the east and south, Poland to the south, and the Russian semi-exclave of Kaliningrad Oblast to the southwest, with a maritime border with Sweden to the west. ",https://www.larsentoubro.com/,https://www.nseindia.com/get-quotes/equity?symbol=LT,https://www.bseindia.com/stock-share-price/larsen--toubro-ltd/lt/500510/,2.0,635.0,17.18,10.49,717.0,Mar 2024,7.031246466738726,13.506668535997433,77.66510140873214,0.1035,3.5442,8.0276,20445.0,2179.0,95.0,66.7267,36.0,2071.0,18266.0,152.61895060890035,56.44423467905896,,,,,,,,,,,,,,366,2024,1124597.5,1097873.76,30.8,2.48,16.63,1.26,90.94219603951974,Excellent
ADANIPOWER,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",Adani Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIPOWER,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,32.2,57.1,90.0,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616.0,14170.0,36.15051246768946,22.638002804073516,,,,,,,,,,,,,,36,2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65,89.3225829612615,Excellent
ADANIPOWER,"https://mkt.in/static/mkt-icons/nifty100/ADANIPOWER.png
",Adani Power Ltd,https://in.tradingview.com/chart/?symbol=NSE%3AADANIPOWER,"Adani Power (APL), a part of the diversified Adani Group, is the largest private thermal power producer in India. The co along with its subsidiaries sell power generated from these projects under a combination of long term Power Purchase Agreements, Short term PPA and on merchant basis",http://www.adani.com/,https://www.nseindia.com/get-quotes/equity?symbol=ADANIPOWER,https://www.bseindia.com/stock-share-price/adani-power-ltd/ADANIPOWER/533096/,10.0,145.0,32.2,57.1,90.0,Mar 2024,41.36759945184802,36.20186292228556,48.27674122146251,0.8023,8.2972,0.5472,17651.0,3481.0,54.0,1.1186,0.0,34616.0,14170.0,36.15051246768946,22.638002804073516,,,,,,,,,,,,,,36,2024,1372183.55,1357949.64,44.57,9.91,24.76,1.65,89.3225829612615,Excellent
